Date,Sediment - Fine_136106A_kilograms
2011-01-17,805733.77503873
2011-01-18,485855.443565321
2011-01-19,399579.325995538
2011-01-20,485926.844465451
2011-01-21,580298.982387085
2011-01-22,571925.294842415
2011-01-23,499921.889543491
2011-01-24,400524.758025377
2011-01-25,303070.089231648
2011-01-26,221967.546353903
2011-01-27,160406.627679879
2011-01-28,115863.300099261
2011-01-29,85683.2028107785
2011-01-30,65598.5735355144
2011-01-31,52977.4909651082
2011-02-01,44915.2727032788
2011-02-02,39844.74547772
2011-02-03,36050.045156256
2011-02-04,32379.8469663112
2011-02-05,29007.7004996486
2011-02-06,27574.4087770591
2011-02-07,25055.3353570802
2011-02-08,22970.4907954346
2011-02-09,22865.7001879903
2011-02-10,22918.5530669681
2011-02-11,22403.9058906552
2011-02-12,21124.923485459
2011-02-13,19347.6674906915
2011-02-14,17606.1692984341
2011-02-15,16616.0877144739
2011-02-16,15779.5288872924
2011-02-17,15165.6687657429
2011-02-18,14238.7754721709
2011-02-19,13410.351821261
2011-02-20,12479.0177706317
2011-02-21,11442.6190213656
2011-02-22,11273.497546377
2011-02-23,11087.7752469759
2011-02-24,10752.4492364718
2011-02-25,10206.0815076282
2011-02-26,9478.97259323813
2011-02-27,8647.41210776032
2011-02-28,7774.98895513109
2011-03-01,6929.80183276844
2011-03-02,6212.94187340913
2011-03-03,5735.90991376345
2011-03-04,5940.81576956106
2011-03-05,7397.92260355714
2011-03-06,45307.5559594417
2011-03-07,259651.576923553
2011-03-08,503842.966613787
2011-03-09,533248.322002025
2011-03-10,427207.039621212
2011-03-11,306376.70451309
2011-03-12,214097.615998785
2011-03-13,150169.847641198
2011-03-14,107427.449216906
2011-03-15,84373.0455974799
2011-03-16,84518.8606167713
2011-03-17,101033.63745193
2011-03-18,114187.988925953
2011-03-19,112048.084776973
2011-03-20,166622.314846335
2011-03-21,473961.795276613
2011-03-22,818988.233427796
2011-03-23,925507.564867213
2011-03-24,717583.586235679
2011-03-25,473697.805734042
2011-03-26,298643.819728459
2011-03-27,191037.418442846
2011-03-28,127511.239220339
2011-03-29,90018.1962838756
2011-03-30,67273.4043797535
2011-03-31,52238.8114641504
2011-04-01,41573.7006372262
2011-04-02,34022.0076493937
2011-04-03,28561.4873509884
2011-04-04,24071.9354382604
2011-04-05,20339.0223129082
2011-04-06,17451.1424355239
2011-04-07,14985.3500746456
2011-04-08,13139.9837977063
2011-04-09,11785.4838527754
2011-04-10,10673.3243498933
2011-04-11,9755.04386511601
2011-04-12,9112.84861387661
